R-5-26:R526,R동 5층 26호
R-5-27:R527,R동 5층 27호
R-5-28:R528,R동 5층 28호
R-5-29:R529,R동 5층 29호
R-5-30:R530,R동 5층 30호
R-5-31:R531,R동 5층 31호
R-5-32:R532,R동 5층 32호
R-5-33:R533,R동 5층 33호
R-5-34:R534,R동 5층 34호
R-5-35:R535,R동 5층 35호
R-5-36:R536,R동 5층 36호
R-6-1:R601,R동 6층 1호
R-6-2:R602,R동 6층 2호
R-6-3:R603,R동 6층 3호
R-6-4:R604,R동 6층 4호
R-6-5:R605,R동 6층 5호
R-6-6:R606,R동 6층 6호
R-6-7:R607,R동 6층 7호
R-6-8:R608,R동 6층 8호
R-6-9:R609,R동 6층 9호
R-6-10:R610,R동 6층 10호
R-6-11:R611,R동 6층 11호
R-6-12:R612,R동 6층 12호
R-6-13:R613,R동 6층 13호
R-6-14:R614,R동 6층 14호
R-6-15:R615,R동 6층 15호
R-6-16:R616,R동 6층 16호
R-6-17:R617,R동 6층 17호
R-6-18:R618,R동 6층 18호
R-6-19:R619,R동 6층 19호
R-6-20:R620,R동 6층 20호
R-6-21:R621,R동 6층 21호
R-6-22:R622,R동 6층 22호
R-6-23:R623,R동 6층 23호
R-6-24:R624,R동 6층 24호
R-6-25:R625,R동 6층 25호
R-6-26:R626,R동 6층 26호
R-7-1:R701,R동 7층 1호
R-7-2:R702,R동 7층 2호
R-7-3:R703,R동 7층 3호
R-7-4:R704,R동 7층 4호
R-7-5:R705,R동 7층 5호
R-7-6:R706,R동 7층 6호
R-7-7:R707,R동 7층 7호
